age,balance,currency,daily,drawdown,expectancy,gain,leverage,link,lots,monthly,name,pips,price,profit,profit_factor,rank,trades,won
3.16,288.35,USD, 1.12%,3.06%,8,188.35%,500 ,https://www.signalstart.com/analysis/heyho/271106, 0.79, 39.33%,Heyho,1883.8,$39.00,188.35, 29.49,1,79, 97%
21.0,7823.0,USD, 0.80%,10.69%,8,18749.04%,500 ,https://www.signalstart.com/analysis/golden-buffalo-channel-rate/270999, 109, 26.85%,Golden Buffalo Channel Rate,22323.0,$200.00,22292.2, 10.32,8,109, 76%
1.82,178.8,USD, 1.06%,1.47%,3,78.80%,500 ,https://www.signalstart.com/analysis/tradaily/271265, 0.49, 36.68%,Tradaily,799.4,$45.00,78.8, 40.4,7,49, 98%
2.79,1516.99,USD, 1.12%,23.40%,4,155.10%,500 ,https://www.signalstart.com/analysis/infinityx/270254, 1.09, 39.29%,InfinityX,12106.8,$55.00,416.99, 8.6,6,53, 89%
3.02,1152.86,USD, 1.14%,31.73%,2,176.72%,500 ,https://www.signalstart.com/analysis/vtmarket-rida/269915, 19.21, 39.98%,VTMARKET RIDA,1963.6,$30.00,1031.74, 2.88,5,612, 74%
4.02,120.98,USD, 0.74%,33.46%,5,141.96%,500 ,https://www.signalstart.com/analysis/eighteen/269885, 0.29, 24.54%,Eighteen,710.1,$39.00,70.98, 0,4,29, 100%
5.3,112.57,USD, 1.13%,21.14%,5,498.42%,500 ,https://www.signalstart.com/analysis/newlifes/269758, 4.37, 39.92%,NewLifeS,13174.0,$30.00,219.44, 5.29,3,266, 83%
2.49,210.5,USD, 1.00%,0.00%,7,110.50%,500 ,https://www.signalstart.com/analysis/scalex/271455, 0.49, 34.26%,ScalEx,4297.0,$75.00,110.5, 0,2,49, 100%
4.03,2942.36,USD, 0.76%,17.36%,1,151.25%,500 ,https://www.signalstart.com/analysis/blue-bull-bear/270993, 18.34, 25.48%,BLUE BULL BEAR,934.0,$50.00,2870.77, 4.08,14,58, 78%
16.0,57826.35,USD, 0.49%,28.14%,1,1033.50%,500 ,https://www.signalstart.com/analysis/argon-forex/271654, 567.95, 15.66%,Argon Forex,163377.2,$69.00,51674.81, 1.65,13,472, 65%
3.95,215.43,USD, 0.76%,7.01%,107,144.93%,500 ,https://www.signalstart.com/analysis/successtrading/268123, 1.09, 25.15%,SuccessTrading,11664.8,$75.00,124.91, 9.87,12,109, 91%
22.0,123.43,USD, 0.31%,23.35%,2,743.14%,500 ,https://www.signalstart.com/analysis/sniper-77/270580, 1.84, 9.79%,Sniper 77,1509.7,$59.00,141.58, 4.65,11,184, 78%
3.16,168.54,USD, 0.55%,3.17%,6,68.54%,500 ,https://www.signalstart.com/analysis/paykis/270151, 0.29, 17.76%,Paykis,685.4,$40.00,68.54, 9.05,10,29, 93%
7.23,2167.34,USD, 0.54%,18.36%,9,223.97%,500 ,https://www.signalstart.com/analysis/quotient-prime/271269, 9.34, 17.58%,Quotient Prime,3398.0,$30.00,2171.01, 3.41,9,378, 78%
4.03,521.57,USD, 0.52%,5.50%,7,88.15%,500 ,https://www.signalstart.com/analysis/futurumz4/271624, 4.19, 16.85%,FuturumZ4,2807.7,$60.00,254.48, 11.85,20,418, 90%
3.23,2112.94,USD, 1.01%,21.45%,1,165.58%,500 ,https://www.signalstart.com/analysis/bigbangfx/269079, 3.59, 34.94%,BigBangfx,-12.6,$65.00,912.94, 2.54,19,105, 80%
8.13,1138.93,USD, 0.32%,23.43%,7,116.00%,500 ,https://www.signalstart.com/analysis/perfect-match/266525, 4.51, 9.90%,Perfect Match,2511.3,$30.00,611.83, 8.17,81,197, 94%
1.39,2043.09,USD, 0.17%,1.97%,5,7.33%,100 ,https://www.signalstart.com/analysis/ph2-fp-trading-for-beginners/271142, 2.6, 5.08%,PH2 FP Trading for Beginners,1136.5,$30.00,100.74, 2.21,201,254, 84%
17.0,2000.22,USD, 0.18%,18.09%,9,158.15%,500 ,https://www.signalstart.com/analysis/alps/262792, 7.29, 5.46%,Alps,1131.9,$30.00,1581.48, 3.39,286,191, 75%
32.0,1761.27,EUR, 0.04%,27.07%,4,43.17%,30 ,https://www.signalstart.com/analysis/moonmoney/258786, 980.78, 1.11%,MOONMONEY,7472.7,$30.00,643.89, 1.19,496,1688, 69%
19.0,49005.49,USD, 0.40%,67.20%,2,1014.49%,500 ,https://www.signalstart.com/analysis/eaststar65/250222," 1,608.18", 12.73%,EastStar65,-359.7,$44.00,40179.23, 1.6,601,1857, 56%
24.0,204189.62,USD, 0.10%,12.78%,9,104.19%,500 ,https://www.signalstart.com/analysis/algo-trend/247171," 22,815.4", 2.98%,Algo Trend,-5389.6,$500.00,104189.62, 1.22,398,5799, 56%
14.0,244.53,USD, -0.07%,91.10%,5,-26.34%,500 ,https://www.signalstart.com/analysis/unicorn-signal/261998, 27.71, -2.12%,Unicorn Signal,2360.4,$70.00,1389.68, 1.62,-,950, 65%
0.91,2.37,USD, -14.32%,98.46%,5,-98.46%,500 ,https://www.signalstart.com/analysis/peak-performance-fx/270874, 0.76, -98.46%,Peak Performance FX,-2240.4,$50.00,151.32, 0.15,-,76, 24%
0.84,1523.44,EUR, 0.54%,5.87%,7,14.50%,500 ,https://www.signalstart.com/analysis/coolsignal/270918, 3.54, 14.50%,COOLSIGNAL,982.3,$135.00,273.44, 3.75,-,210, 71%
0.84,309.05,USD, 2.26%,25.42%,8,75.01%,500 ,https://www.signalstart.com/analysis/gold-miner-go/270914, 9.06, 75.01%,Gold Miner Go,5557.0,$30.00,205.34, 1.53,-,124, 65%
0.94,3162.96,GBP, 0.79%,18.79%,8,24.62%,200 ,https://www.signalstart.com/analysis/fhustlexau/270894, 17.1, 24.62%,FhustleXAU,2952.0,$35.00,535.98, 1.24,-,57, 84%
0.91,560.83,USD, 0.27%,3.28%,6,7.62%,500 ,https://www.signalstart.com/analysis/nexus-profit/270875, 0.52, 7.62%,Nexus Profit,1082.5,$50.00,39.72, 3.24,-,44, 84%
0.91,182.23,USD, 0.71%,3.79%,9,21.03%,500 ,https://www.signalstart.com/analysis/quantum-trades-fx/270873, 0.14, 21.03%,Quantum Trades FX,347.9,$50.00,31.66, 7.37,-,14, 71%
0.91,5277.05,USD, 0.06%,4.79%,9,1.55%,500 ,https://www.signalstart.com/analysis/anj-super-hero/270871, 6.08, 1.55%,ANJ Super Hero,817.6,$30.00,73.05, 3.57,-,209, 69%
0.91,0.32,USD, 0.40%,31.29%,8,11.52%,500 ,https://www.signalstart.com/analysis/top-funded-trader/270864, 148.5, 11.52%,Top Funded Trader,-121.0,$100.00,218.32, 1.14,-,161, 69%
0.98,2593.28,USD, 0.54%,7.86%,391,16.90%,100 ,https://www.signalstart.com/analysis/masmountcapital-grid/270842, 2.38, 16.90%,MasMountCapital Grid,93053.4,$30.00,198.19, 1.61,-,238, 87%
2.62,1.25,USD, -5.72%,99.73%,2,-99.05%,500 ,https://www.signalstart.com/analysis/streamlined-trading/270813, 5.08, -82.64%,Streamlined Trading,-5251.3,$40.00,131.75, 0.87,-,469, 70%
1.02,9433.45,USC Cent, -0.07%,18.87%,1,-2.13%,300 ,https://www.signalstart.com/analysis/multipar-seven/270791, 16.79, -2.08%,Multipar Seven,223.2,$125.00,453.99, 0.69,-,230, 63%
1.1,0.0,USD, -18.89%,99.95%,5,-99.90%,500 ,https://www.signalstart.com/analysis/street-called-straight/270789, 2.93, -99.78%,street called Straight,-357.8,$30.00,41.16, 1.51,-,55, 71%
2.66,1022.39,USD, 1.28%,12.12%,8,176.36%,200 ,https://www.signalstart.com/analysis/doraemon-trading/270779, 8.94, 45.86%,Doraemon Trading,8918.0,$30.00,908.26, 3.26,-,645, 64%
1.03,2900.31,USD, -0.11%,6.35%,5,-3.35%,500 ,https://www.signalstart.com/analysis/fbs-mt5-8429-market-cycle/270756, 4.56, -3.17%,FBS MT5 8429 Market Cycle,-4126.1,$30.00,100.06, 0.87,-,150, 54%
1.03,7154.25,USD, 2.18%,78.90%,7,95.28%,500 ,https://www.signalstart.com/analysis/fbs-mt5-8154-gold-trade/270755, 60.78, 88.07%,FBS MT5 8154 Gold Trade ICM,21335.5,$30.00,3824.44, 2.62,-,421, 92%
1.03,0.41,USD, 0.03%,0.18%,247,0.93%,500 ,https://www.signalstart.com/analysis/fbs-mt5-8161-gold-pulse/270754, 0.03, 0.87%,FBS MT5 8161 Gold Pulse,741.0,$30.00,7.41, 0,-,3, 100%
