age,daily,drawdown,gain,link,monthly,name,pips,price,profit_factor,rank,trades,type,won
28.0, 0.69%,4.5%,"36,616.76%",https://www.signalstart.com/analysis/edgefx/143190, 22.80%,EdgeFX,"45,893.8",$75, 12.12,1,1814,Real, 93%
9.43, 0.54%,95.8%,355.36%,https://www.signalstart.com/analysis/snow-socks/71279, 17.40%,Snow Socks,"34,449.8",$45, 1.27,2,371,Real, 99%
5.39, 0.60%,25%,164.59%,https://www.signalstart.com/analysis/kingsman-trader/105334, 19.68%,Kingsman trader,"-196,576.8",$49, 1.22,3,356,Real, 50%
6.72, 0.58%,16.8%,224.13%,https://www.signalstart.com/analysis/citadel/145220, 19.03%,Citadel,"1,149.5",$69, 5.37,4,105,Real, 73%
33.0, 0.76%,20.8%,"217,474.61%",https://www.signalstart.com/analysis/lord-laurel/142623, 25.49%,Lord Laurel,"14,519.8",$100, 6.93,5,662,Real, 84%
2.56, 0.98%,12.9%,111.11%,https://www.signalstart.com/analysis/woody/136827, 33.56%,Woody,56.7,$30, 0,7,11,Real, 100%
5.92, 0.96%,89.9%,445.94%,https://www.signalstart.com/analysis/alpha-winner/108946, 33.02%,Alpha Winner,"5,699.6",$40, 2.92,6,2998,Real, 92%
3.62, 1.06%,42.8%,214.65%,https://www.signalstart.com/analysis/twl-ea/129827, 36.91%,TWL EA,"1,465.6",$168, 2.09,8,1183,Real, 68%
8.16, 1.02%,6.9%,"1,102.54%",https://www.signalstart.com/analysis/sensation/127636, 35.52%,Sensation,"14,928.9",$50, 5.71,10,485,Real, 74%
10.49, 0.48%,92.1%,345.97%,https://www.signalstart.com/analysis/expertanalystahmedsar1/62743, 15.28%,ExpertAnalystAhmedSar1,"7,127.3",$35, 1.21,11,1515,Real, 48%
26.0, 0.20%,15.1%,391.84%,https://www.signalstart.com/analysis/spotlight-night-ea-multipair/129183, 6.16%,SpotLight Night EA Multipair,"3,238.6",$39, 1.13,9,3298,Real, 82%
2.82, 1.03%,26.1%,139.19%,https://www.signalstart.com/analysis/break-all-limits/138227, 35.81%,Break all limits,"1,115.6",$36, 1.55,13,151,Real, 75%
5.26, 0.51%,72.4%,124.17%,https://www.signalstart.com/analysis/mercury-rec-rmax/95170, 16.51%,MERCURY REC RMAX,280,$75, 1.19,12,240,Real, 70%
2.49, 0.94%,25.6%,101.94%,https://www.signalstart.com/analysis/candlestickguru/137037, 32.23%,CandleStickGuru,"1,417.1",$30, 1.99,17,21,Real, 57%
25.0, 0.02%,96.5%,17.05%,https://www.signalstart.com/analysis/sp-ts1/40600, 0.62%,SP TS1,"54,630.5",$40, 1.01,15,1488,Real, 52%
2.95, 0.93%,24.9%,127.68%,https://www.signalstart.com/analysis/safe-zone/131913, 31.77%,Safe zone,"7,725.9",$65, 2.2,18,794,Real, 85%
28.0, 0.29%,11%,"1,112.06%",https://www.signalstart.com/analysis/ronin47-v4-february-2018/138395, 9.01%,Ronin47 V4 February 2018,"4,092.9",$50, 7.23,20,4232,Real, 70%
9.79, 0.68%,77.9%,637.36%,https://www.signalstart.com/analysis/imalive/145269, 22.57%,IMALIVE,"606,592.5",$49, 2.3,14,1137,Real, 65%
12.95, 1.65%,75.7%,"62,544.7%",https://www.signalstart.com/analysis/10x-strategy/86847, 63.20%,The 10x Strategy,"4,229.8",$69, 3.29,-,290,Real, 85%
8.36, 4.14%,62.3%,"2,657,478.4%",https://www.signalstart.com/analysis/i-am-your-banker/119173, 237.16%,I am Your Banker,"46,882.4",$350, 36.51,-,512,Real, 89%
1.85, 0.85%,1.9%,60.38%,https://www.signalstart.com/analysis/af-gold-hunter-pro-final/122582, 28.52%,AF Gold Hunter Pro Final,"581,160",$150, 8.35,19,1127,Real, 88%
19.0, 1.05%,22.2%,"50,477.66%",https://www.signalstart.com/analysis/3-years-stability/145472, 36.70%,3 years of stability,"27,720.7",$75, 5.78,33,1398,Real, 72%
22.0, 0.87%,60.6%,"30,915.61%",https://www.signalstart.com/analysis/lever-de-soleil/141832, 29.47%,Lever De Soleil,"19,714.8",$69, 4.41,48,1122,Real, 82%
30.0, 0.72%,75.3%,"75,144.62%",https://www.signalstart.com/analysis/a77777/115183, 24.06%,A77777,"562,241.9",$100, 1.36,16,4512,Real, 64%
18.0, 0.95%,65.7%,"19,003.98%",https://www.signalstart.com/analysis/fx-fresh-life/52112, 32.80%,FX fresh life,"19,923.8",$45, 2.92,206,285,Real, 74%
39.0, 0.42%,84%,"14,264.46%",https://www.signalstart.com/analysis/alzaruda01/51873, 13.25%,ALzaruda01,"10,217.8",$30, 16.46,351,537,Real, 93%
26.0, 0.69%,50.4%,"25,719.36%",https://www.signalstart.com/analysis/gelios/38201, 23.01%,Gelios,"6,349.3",$59, 3.82,357,743,Real, 78%
33.0, 0.87%,52.5%,"641,307.66%",https://www.signalstart.com/analysis/serendipity-fortune/97235, 29.56%,serendipity fortune,"10,126.3",$39, 7.07,374,381,Real, 90%
46.0, 0.45%,47.5%,"51,580.78%",https://www.signalstart.com/analysis/night-scalping/18002, 14.32%,Night Scalping,"4,258.1",$35, 1.7,254,1978,Real, 76%
17.0, 0.88%,26.4%,"11,235.27%",https://www.signalstart.com/analysis/moneymakersuper/51254, 30.15%,Moneymakersuper,"4,405.8",$100, 866.06,58,256,Real, 96%
1.92, 8.43%,64%,"10,829.04%",https://www.signalstart.com/analysis/scorpionz/129379, 1011.69%,ScorpionZ,"12,234.3",$45, 8.51,-,249,Real, 97%
3.07, 5.20%,17.4%,"10,468.8%",https://www.signalstart.com/analysis/nolimit-ro/140782, 353.59%,NoLiMit RO,"1,263.8",$75, 44.4,-,76,Real, 99%
605.0, 0.02%,60.7%,"8,767.57%",https://www.signalstart.com/analysis/fx-know-how/89353, 0.73%,FX KNOW HOW,"52,154.9",$75, 2.32,186,511,Real, 69%
45.0, 0.29%,36.9%,"5,559.05%",https://www.signalstart.com/analysis/sapphire/57131, 9.14%,Sapphire,"35,330.1",$59, 2.62,174,4701,Real, 75%
0.44, 42.90%,100%,"10,264.45%",https://www.signalstart.com/analysis/ro-nolimit/140761, 10264.45%,RO NOLIMIT,80.2,$75, 0.59,-,151,Real, 79%
3.07, 5.11%,29.6%,"9,696.15%",https://www.signalstart.com/analysis/newfuture/123254, 342.55%,NewFuture,"1,798.3",$50, 11.9,-,161,Real, 94%
2.33, 6.43%,72.4%,"7,763.14%",https://www.signalstart.com/analysis/zhangli-fx-signal/143470, 541.20%,ZhangLi FX Signal,"5,880.2",$100, 3.16,-,373,Real, 83%
19.0, 0.71%,56.8%,"6,662.15%",https://www.signalstart.com/analysis/most-sucessfull/139984, 23.74%,most sucessfull,"2,939.1",$75, 1.32,392,327,Real, 47%
24.46, 0.54%,92.3%,"5,298.22%",https://www.signalstart.com/analysis/af-global-expert-i/40980, 17.44%,AF Global Expert I,"9,606",$200, 1.31,443,35635,Real, 79%
37.0, 0.36%,66.6%,"6,004.87%",https://www.signalstart.com/analysis/gegatrade-pro/25238, 11.33%,Gegatrade Pro,"13,309.4",$75, 2.41,276,25319,Real, 69%
18.0, 0.82%,36.9%,"9,929.06%",https://www.signalstart.com/analysis/team-zenith/135959, 27.81%,Team Zenith,"51,235.7",$65, 5.59,24,2545,Real, 83%
3.02, 4.36%,31.7%,"4,550.24%",https://www.signalstart.com/analysis/scm-ro/140803, 257.23%,SCM RO,"1,460.5",$75, 20.3,-,97,Real, 97%
17.0, 0.72%,80.1%,"4,527.06%",https://www.signalstart.com/analysis/traffic-crazy/53570, 23.82%,Traffic Crazy,"8,154.7",$39, 2.18,190,957,Real, 77%
