age,daily,drawdown,gain,link,monthly,name,pips,price,profit_factor,rank,trades,type,won
4.46, 0.73%,25%,164.55%,https://www.signalstart.com/analysis/kingsman-trader/105334, 24.28%,Kingsman trader,"7,149",$49, 1.24,1,325,Real, 49%
4.82, 0.72%,15.8%,181.51%,https://www.signalstart.com/analysis/upscale-signals-eurusd/107154, 23.83%,Upscale Signals EURUSD,"1,018.8",$150, 4.08,8,94,Real, 85%
8.72, 1.04%,71.5%,"1,398.31%",https://www.signalstart.com/analysis/mercury-eurjpy-rx/64335, 36.29%,Mercury EURJPY RX,285.9,$75, 2.31,3,161,Real, 80%
14.0, 0.59%,73.6%,"1,125.62%",https://www.signalstart.com/analysis/lions-den/112033, 19.24%,Lions Den,"7,354.3",$30, 5.67,4,321,Real, 86%
29.0, 0.76%,75.3%,"87,971.98%",https://www.signalstart.com/analysis/a77777/115183, 25.57%,A77777,"477,650.7",$100, 1.44,2,4230,Real, 64%
5.01, 0.84%,49.4%,252.24%,https://www.signalstart.com/analysis/alpha-winner/108946, 28.58%,Alpha Winner,"4,572.3",$40, 4.34,6,1877,Real, 92%
56.0, 0.00%,88.8%,5.47%,https://www.signalstart.com/analysis/100k-challenge/121777, 0.09%,100K Challenge,"5,411.9",$30, 1.25,7,451,Real, 58%
10.62, 0.77%,20.4%,"1,053.27%",https://www.signalstart.com/analysis/goodwill-godfather/117514, 25.83%,Goodwill Godfather,"7,306",$99, 1.53,10,701,Real, 63%
10.62, 0.84%,30.3%,"1,328.17%",https://www.signalstart.com/analysis/charity-fund-04/116653, 28.38%,charity fund 04,"6,185.7",$100, 1.94,9,416,Real, 66%
7.23, 1.10%,6.9%,974.51%,https://www.signalstart.com/analysis/sensation/127636, 38.80%,Sensation,"10,001.5",$50, 5.79,11,396,Real, 75%
8.72, 0.99%,57.3%,"1,237.73%",https://www.signalstart.com/analysis/mercury-usdjpy-rx/64473, 34.54%,Mercury USDJPY RX,256,$75, 1.7,12,141,Real, 77%
6.3, 0.57%,26.1%,193.89%,https://www.signalstart.com/analysis/all-right-just-relax/123961, 18.63%,All Right Just Relax,"4,100.2",$50, 33.37,13,197,Real, 97%
6.16, 0.26%,7.4%,60.92%,https://www.signalstart.com/analysis/mars/76466, 8.01%,Mars,"4,046.9",$39, 8.5,18,166,Real, 86%
10.52, 0.22%,9%,97.73%,https://www.signalstart.com/analysis/lifehua20190620/118123, 6.68%,LifeHua20190620,"10,835.7",$30, 3.07,19,139,Real, 60%
2.62, 1.12%,44.3%,141.01%,https://www.signalstart.com/analysis/rapid-growth/111340, 39.51%,Rapid growth,"1,173.7",$31, 3.27,15,143,Real, 89%
9.39, 0.38%,13.7%,189.87%,https://www.signalstart.com/analysis/nasdaq-trade-hands/131080, 11.98%,NASDAQ Trade in hands,"343,968.1",$75, 2.07,16,770,Real, 90%
2.69, 1.02%,37.9%,127.48%,https://www.signalstart.com/analysis/twl-ea/129827, 35.45%,TWL EA,902,$88, 2.28,20,881,Real, 68%
42.0, 0.20%,9.3%,"1,118.15%",https://www.signalstart.com/analysis/starttrading/72336, 6.04%,StartTrading,"27,063.9",$59, 7.52,17,559,Real, 85%
2.59, 0.84%,5.1%,91.55%,https://www.signalstart.com/analysis/af-global-expert-pro-final/122589, 28.29%,AF Global Expert Pro Final,"32,257.1",$200, 6.93,14,2612,Real, 81%
32.0, 0.95%,52.5%,"1,176,428.09%",https://www.signalstart.com/analysis/serendipity-fortune/97235, 32.95%,serendipity fortune,"11,585.3",$39, 22.08,5,361,Real, 92%
8.92, 0.13%,4.8%,40.99%,https://www.signalstart.com/analysis/universal-fx/105355, 3.92%,Universal FX,643.3,$100, 5.38,42,42,Real, 74%
1.89, 1.05%,37.2%,81.44%,https://www.signalstart.com/analysis/hf-signal-02/115519, 36.63%,HF Signal 02,"6,202.3",$35, 5.16,41,39,Real, 79%
13.0, 0.29%,40.8%,232.7%,https://www.signalstart.com/analysis/surefire-destiny-fx/121084, 8.92%,SureFire Destiny FX,"33,175.4",$30, 10.92,43,435,Real, 95%
10.52, 0.21%,20.5%,96.85%,https://www.signalstart.com/analysis/bazava/63399, 6.64%,Bazava,732.3,$49, 4.27,44,90,Real, 98%
4.95, 0.25%,12.8%,45.04%,https://www.signalstart.com/analysis/leonlonkaxtb/128959, 7.76%,LeonLonkaXtb,371.8,$50, 1.57,45,110,Real, 40%
12.43, 0.00%,0.3%,0.88%,https://www.signalstart.com/analysis/signalking/125753, 0.07%,Signalking,86.5,$30, 0,47,5,Real, 100%
26.0, 0.34%,48.4%,"1,467.9%",https://www.signalstart.com/analysis/magic-signal/34192, 10.62%,Magic Signal,"11,118.2",$100, 2.17,46,608,Real, 74%
2.33, 0.42%,4.7%,33.93%,https://www.signalstart.com/analysis/x5-forex-signals/118144, 13.28%,X5 Forex Signals,"9,785.7",$79, 1.93,48,995,Real, 68%
4.07, 0.30%,33.2%,43.54%,https://www.signalstart.com/analysis/forex-cash-flow/92566, 9.27%,FOREX CASH FLOW,"3,248",$30, 0,49,342,Real, 100%
7.26, 0.20%,17.4%,56.05%,https://www.signalstart.com/analysis/af-big-player-pro-final/122568, 6.31%,AF BIG PLAYER Pro Final,"14,733.6",$300, 2.38,50,2939,Real, 81%
